id,region,subregion,country,location,lat,lon,year,depth,severity_code,bleaching_severity,coral_family,coral_species,percentage_affected,mortality_code,mortality,water_temperature,source,country_code
1,Americas,Eastern Caribbean,Netherlands Antilles,,5.542,125.221,1998,,3,High,,,51,Unknown,,,R@RSEA: UP Marine Science In,ANT
2,Asia,Southeast Asia,Philippines,,13.302,121.533,1998,,3,High,,,71,Unknown,,,R@RSEA: UP Marine Science In,PHL
3,Asia,Southeast Asia,Philippines,,12.312,122.196,1998,,3,High,,,71,Unknown,,,R@RSEA: UP Marine Science In,PHL
4,Asia,Southeast Asia,Philippines,,12.15,122.211,1998,,3,High,,,71,Unknown,,,R@RSEA: UP Marine Science In,PHL
5,Asia,Southeast Asia,Philippines,,12.367,122.196,1998,,3,High,,,71,Unknown,,,R@RSEA: UP Marine Science In,PHL
6,Asia,Southeast Asia,Philippines,,9.76,123.74,1998,,3,High,,,71,Unknown,,,R@RSEA: UP Marine Science In,PHL
7,Asia,Southeast Asia,Philippines,Pamilacan Island,9.43333,123.95,1999,,1,Low,,,6.8,Unknown,,,R@RSEA: Alan White,PHL
8,Asia,Southeast Asia,Philippines,Balicasag Island,9.51667,123.68333,1999,,2,Medium,,,9,Unknown,,,R@RSEA: Alan White,PHL
9,Asia,Southeast Asia,Philippines,Sumilon Island,9.4,123.36667,1999,,2,Medium,,,13,Unknown,,,R@RSEA: Alan White,PHL
10,Asia,Southeast Asia,Philippines,Apo Island,9.08333,123.26667,1999,,2,Medium,,,26.3,Unknown,,,R@RSEA: Alan White,PHL
11,Asia,Southeast Asia,Malaysia,Pulau Payar,6.05,100.04,1998,,3,High,,"Acropora spp, massive corals especially patches of Porites",,High,,2,Nora Ibrahim,MYS
12,Asia,Southeast Asia,Malaysia,Pulau Payar,6.05,100.04,1998,,3,High,,Sea anemonies,,No Mortality,,2,Nora Ibrahim,MYS
13,Asia,Southeast Asia,Malaysia,Pulau Payar,6.05,100.04,1998,,3,High,,barrel sponges (bleached white and sponges disintegrated),,High,,2,Nora Ibrahim,MYS
14,Americas,U.S. Caribbean,Florida (USA),Florida Keys,24.5342,-81.5811,1997,,2,Medium,,,,Unknown,,,NOAA database,USA_FLO
15,Americas,Mesoamerica,Mexico,mouth into Gulf of California,23.4303,-109.3849,1997,,2,Medium,,,,Unknown,,,NOAA database,MEX
16,Americas,U.S. Caribbean,Florida (USA),Florida Keys,24.5557,-81.5112,1997,,3,High,,,,Unknown,,,NOAA database,USA_FLO
17,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,"Palm Island, GBR",-18.7691,146.6305,1998,,2,Medium,,,,High,,,NOAA database,AUS_GBR
18,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Great Barrier Reef,-17.8847,146.5938,1998,,3,High,,,,Unknown,,,NOAA database,AUS_GBR
19,Australia,Australia and Papua New Guinea,Australia,"Bundaberg, southernmost point",-24.925,152.5015,1998,,2,Medium,,,,Unknown,,,NOAA database,AUS
20,Australia,Australia and Papua New Guinea,Australia,Byron Bay (28.37 S),-28.7001,153.6209,1998,,1,Low,,,,Unknown,,,NOAA database,AUS
21,Americas,Southern Tropical America,Ecuador,Wenman Island nr Galapagos Archipelago,0.2732,-91.6261,1998,,3,High,,,,Unknown,,,NOAA database,ECU
22,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,GBF (central),-18.5253,147.1444,1998,,2,Medium,,,,Unknown,,,NOAA database,AUS_GBR
23,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Great Barrier Reef (23.5 S),-20.7693,151.0437,1998,,2,Medium,,,,Unknown,,,NOAA database,AUS_GBR
24,Australia,Australia and Papua New Guinea,Australia,Bundaberg,-24.8362,152.4829,1998,,3,High,,,,Unknown,,,NOAA database,AUS
25,Americas,Southern Tropical America,Brazil,"Sebasti O, Brazil",-16.9929,-39.1432,1998,,1,Low,,,,Unknown,,,NOAA database,BRA
26,Africa,Eastern Africa,Tanzania,"Mnazi Bay, Tanzania",-10.3477,40.3384,1998,,2,Medium,,,,Unknown,,,"Wilkinson, Clive",TZA
